655|gradient-pulse|53132|12||||
656|slskopytko|53088|51||||
657|ji21|53071|34||||
658|mist-whisper|53053|21||||
659|joecummings|53033|23||||
660|pdevine|53024|33||||
661|wrongkindofdoctor|52990|53||||
662|ffuugoo|52938|39||||
663|weijinqian0|52650|29||||
664|MQ37|52596.5|17||||
665|wxsIcey|52570|13||||
666|charlifu|52541|25||||
667|rolandtannous|52502|24||||
668|rwightman|52485|46||||
669|Kosinkadink|52339|34||||
670|NVaissaud|52293|63|La Rochelle|75|France|FR
671|prmiguel|52230|50||||
672|moehreag|52226|51||||
673|deon-sanchez|52199|20||||
674|ylacombe|52052|22||||
675|zhanglx13|51985|21||||
676|wm901115nwpu|51857|41||||
677|yaochengji|51750|13||||
678|AlexanderPRM|51535|33||||
679|boqiang|51443.5|9||||
680|AhmedAlmaghz|51436|7||||
681|AbzRaider|51381|43||||
682|hongxiayang|51347|30||||
683|victor-prm|51255|14||||
684|jimoosciuc|51252|12||||
685|lexmin0412|51161.5|14||||
686|fatelei|51153|40||||
687|mdorier|51135|62||||
688|wozniakjan|50960|23||||
689|charlesfrye|50935|29||||
690|aliberts|50800|16|Paris|11|France|FR
691|mingfeima|50767.5|33||||
692|sywangyi|50672|46||||
693|alvarobartt|50669.5|50|||Spain|ES
694|rick-github|50635|25||||
695|agnoliveira|50541|42||||
696|rizkiiaprmn|50500|1||||
697|djsaunde|50474|16||||
698|varvarashcherbyna7|50269|41||||
699|adrian-polanczyk-codilime|50130.5|17||||
700|david6666666|50082|16||||
701|YiyunNi|50076|24|Shanghai|23|China|CN
702|alirezanet|49995.5|51|Amsterdam|07|Netherlands|NL
703|wallashss|49911|18||||
704|MagMueller|49878.5|18|San Francisco|CA|United States|US
705|abhishekkrthakur|49718|43||||
706|tolgaprm|49637|43||||
707|Asthox|49562|31||||
708|tbmahfudi|49493.5|6||||
709|iforgetmyname|49445|10||||
710|LYSHARMA|49415|8||||
711|AccidentalJedi|49295.5|6||||
712|Awdjaw89|49280|12||||
713|dsuprmajstc93r|49155|2||||
714|dmptrluke|49134|54||||
715|pavanimajety|49073.5|22||||
716|AndyFlintNHS|48940|29||||
717|chunyuan-w|48930|16||||
718|psxdupes028|48860|9||||
719|swarooprm|48825|30||||
720|daveatweaviate|48825|13||||
721|mohaibra919|48735|14||||
722|adrianwedd|48585|39|Hobart|06|Australia|AU
723|Tushar98644|48570|10||||
724|timj|48454|62||||
725|carlosrcoelho|48443|31|Uberlândia|15|Brazil|BR
726|rkafh|48370|2||||
727|jamesmontemagno|48350.5|63||||
728|esmeetu|48300|25||||
729|thundergolfer|48236|40||||
730|shanjiaz|48102|12||||
731|nim65s|48100.5|31||||
732|orozery|47892|13||||
733|triple-Mu|47884|34||||
734|zhangsansana|47800|3||||
735|Qiaolin-Yu|47770|18||||
736|eaidova|47753|26||||
737|alex-jw-brooks|47697|23||||
738|camenduru|47658|43||||
739|MrPresent-Han|47651.5|42|Shanghai|23|China|CN
740|larme|47648|57||||
741|ManojKumarKarumanchi|47577.5|6|Khammam|40|India|IN
742|anurmanov|47575|4|Almaty|02|Kazakhstan|KZ
743|gary149|47438|56||||
744|tjohnson31415|47397|25||||
745|mountaindude|47362.5|35||||
746|douxc|47323|26||||
747|jackgerrits|47193|19||||
748|molbap|47100|31||||
749|kumasachin|47085|2||||
750|bilgeyucel|47050.5|44|Berlin|16|Germany|DE
751|sauyon|47040|49||||
752|yangulei|46909|21||||
753|tengomucho|46903|25||||
754|nirinchev|46858|12||||
755|clareliguori|46850.5|13|Seattle|WA|United States|US
756|artagnon|46771|59|London|ENG|United Kingdom|GB
757|zhtmike|46752|12||||
758|lallison2|46705|4||||
759|dhuangnm|46618|34||||
760|yhyang201|46578|13||||
761|mfortman11|46508|28||||
762|hashsan|46460|2||||
763|keenborder786|46393|33||||
764|baberabb|46352|35||||
765|espinielli|46314.5|63||||
766|kiranmoogi13|46200|1||||
